Generation,BestRecord,GenBestRecord,Average
147,1857.133,1702.131,52.50619
148,1857.133,1741.852,17.87314
149,1857.133,1691.974,33.98
150,1857.133,1705.875,63.40858
151,1857.133,1699.094,26.01184
152,1857.133,1665.528,62.51779
153,1857.133,1666.198,75.14952
154,1857.133,1738.709,38.44239
155,1857.133,1763.258,143.0162
156,1857.133,1745.814,64.17428
157,1857.133,1818.03,85.96567
158,1857.133,1699.242,45.00733
159,1857.133,1713.133,30.27404
160,1857.133,1766.421,92.85679
161,1857.133,1732.792,30.60165
162,1857.133,1820.565,24.6053
163,1857.133,-0.0005974813,-0.1510978
164,1857.133,1788.86,53.00363
165,1857.133,1743.955,15.42662
166,1857.133,1721.546,40.49752
167,1857.133,1732.495,25.26626
168,1857.133,1729.574,101.988
169,1857.133,1696.067,8.477362
170,1857.133,1734.442,66.37634
171,1857.133,1747.405,60.17217
172,1857.133,1791.408,43.94109
173,1857.133,1761.668,26.1534
174,1857.133,1729.178,17.11808
175,1857.133,-0.0006287564,-0.005298112
176,1857.133,1848.861,53.01455
177,1857.133,-0.0008097214,-0.004426474
178,1857.133,1810.74,70.41745
179,1857.133,-0.0008623972,-0.003552333
180,1857.133,1761.671,8.803311
181,1857.133,1726.051,16.92859
182,1857.133,1679.471,8.394081
183,1857.133,1750.679,25.90939
184,1857.133,-0.0006969576,-0.003256481
185,1857.133,1788.426,34.56538
186,1857.133,1771.591,8.854288
187,1857.133,-0.0006613586,-0.004287658
188,1857.133,1787.933,17.66321
189,1857.133,1811.445,80.69739
190,1857.133,1774.654,8.869769
191,1857.133,1734.636,8.669574
192,1857.133,1557.577,7.783123
193,1857.133,-0.0008048351,-0.004180269
194,1857.133,-0.0008578074,-0.004221701
195,1857.133,1694.854,8.470559
196,1857.133,1634.72,16.18623
197,1857.133,1752.237,40.69155
198,1857.133,-0.0006997692,-0.003597964
199,1857.133,1697.14,8.481059
200,1857.133,1611.192,23.68998
201,1857.133,1588.433,23.17382
202,1857.133,1589.322,15.85944
203,1857.133,1659.095,31.92422
204,1857.133,1739.787,24.65539
205,1857.133,1659.906,8.294947
