Generation,BestRecord,GenBestRecord,Average
1,-0.002966904,0,-198.6032
2,-0.002530746,-0.002530746,-15.23435
3,-0.002145217,-0.002145217,-7.626044
4,-0.001778075,-0.001778075,-3.828868
5,-0.001778075,-0.00210702,-15.22676
6,-0.001129248,-0.001129248,-24.73143
7,-0.00104815,-0.00104815,-13.32108
8,-0.00104815,-0.001569214,-11.4173
9,-0.00104815,-0.001132553,-22.81221
10,-0.00101356,-0.00101356,-13.33089
11,-0.00101356,-0.001537283,-5.723097
12,-0.00101356,-0.001046604,-3.821139
13,-0.00101356,-0.001050696,-0.0167692
14,-0.00101356,-0.001121447,-7.62644
15,-0.00101356,-0.001014424,-1.914626
16,-0.00101356,-0.001085643,-13.33601
17,-0.00101356,-0.001120321,-17.33924
18,-0.00101356,-0.001380436,-7.621406
19,-0.00101356,-0.001084772,-32.32642
20,-0.0009787723,-0.0009787723,-26.67077
21,-0.0009787723,-0.001049957,-36.18486
22,-0.0009787723,-0.001017655,-22.85301
23,-0.0009787723,-0.001016586,-22.82013
24,-0.000974913,-0.000974913,-7.620453
25,-0.000974913,-0.001044112,-15.20473
26,-0.000974913,-0.00104576,-11.41134
27,-0.0009668656,-0.0009668656,-9.51882
28,-0.0007388262,-0.0007388262,-32.3187
29,-0.0007388262,-0.0009702996,-17.12755
30,-0.0007388262,-0.0009162749,-19.02797
31,-0.0007388262,-0.0008812998,-30.41772
32,-0.0007388262,-0.001038353,-34.31999
33,-0.0007388262,-0.0009667198,-5.745434
34,-0.0007373695,-0.0007373695,-1.914009
35,-0.0007373695,-0.0009686411,-5.745196
36,-0.0007373695,-0.0009679234,-3.829993
37,-0.0007373695,-0.0008452706,-3.8257
38,-0.0007373695,-0.0009718784,-3.832656
39,-0.0007373695,-0.0009086001,-5.767432
40,-0.0007373695,-0.0009694331,-9.522396
41,-0.0007373695,-0.0009108271,-2.003061
42,-0.0007373695,-0.0009603553,-9.551855
43,-0.0007373695,-0.000962706,-3.813807
44,-0.0007373695,-0.000910971,-3.87752
45,-0.0007373695,-0.001038634,-5.740771
46,-0.0007373695,-0.0008601242,-5.738342
47,-0.0007373695,-0.0009644727,-3.824542
48,-0.0007373695,-0.000967883,-17.11616
49,-0.0007373695,-0.0009693212,-11.5091
50,-0.0007373695,-0.0009140101,-11.43086
51,-0.0007373695,-0.0008863215,-19.01213
52,-0.0007373695,-0.001043972,-24.72078
53,-0.0007373695,-0.0009152332,-9.53193
54,1535.053,1535.053,7.663326
55,1535.053,-0.0009121419,-3.811278
56,1535.053,1469.154,-0.2883253
57,1535.053,-0.0008793706,-5.735842
58,1535.053,-0.0009757075,-0.01239053
59,1535.053,-0.0008656456,-5.717568
60,1535.053,-0.0009710027,-1.918905
61,1535.053,-0.0007410729,-3.815707
62,1535.053,-0.0009679823,-1.909256
63,1535.053,-0.001048857,-1.912658
64,1535.053,-0.000920881,-7.634894
65,1535.053,832.9133,-1.544186
66,1667.281,1667.281,0.7203787
67,1667.281,-0.0008574043,-5.717193
68,1667.281,-0.000916865,-1.918754
69,1667.281,1000.48,3.079015
70,1667.281,-0.0009192749,-1.940587
71,1667.281,-0.0006564624,-1.955402
72,1667.281,-0.0009132969,-5.714903
73,1667.281,1072.323,1.547636
74,1667.281,-0.0008606416,-11.41134
75,1667.281,-0.0009253543,-0.01199083
76,1667.281,-0.0009076911,-0.01276436
77,1667.281,1506.489,7.520117
78,1667.281,-0.001047374,-0.01165026
79,1786.637,1786.637,16.2638
80,1786.637,-0.0008853592,-1.911524
81,1786.637,-0.0008547468,-0.0112741
82,1786.637,1647.036,8.221045
83,1786.637,1653.559,4.454782
84,1786.637,-0.0009647251,-0.01160534
85,1786.637,-0.001042999,-0.01395083
86,1786.637,-0.0006997461,-0.01779149
87,1786.637,-0.0008605409,-0.01317936
88,1786.637,-0.001036448,-1.912405
89,1786.637,-0.001383531,-0.01808489
90,1786.637,-0.001042963,-0.01385553
91,1786.637,-0.001045198,-0.01853719
92,1786.637,-0.001037276,-3.812761
93,1786.637,-0.0008640115,-1.913336
94,1786.637,-0.0006583894,-1.920485
95,1786.637,-0.0009190686,-5.714436
96,1786.637,1731.907,6.744012
97,1786.637,-0.0006669695,-7.617053
98,1795.342,1795.342,7.05597
99,1795.342,-0.0008803715,-5.728297
100,1795.342,-0.0008625995,-1.910467
101,1795.342,-0.0009071332,-1.916915
102,1795.342,1778.06,15.44959
