Generation,BestRecord,GenBestRecord,Average
1,-0.008645036,0,-172.191
2,-0.001299144,-0.001299144,-74.91538
3,-0.001299144,-0.003155759,-101.8918
4,-0.001299144,-0.00281937,-38.03017
5,-0.001169772,-0.001169772,-20.9227
6,-0.001169772,-0.001300335,-74.13348
7,-0.001169772,-0.002809388,-30.54317
8,-0.001169772,-0.002222213,-71.49151
9,-0.001169772,-0.002525473,-102.6315
10,-0.001169772,-0.001286911,-79.46301
11,-0.001169772,-0.00126418,-47.51307
12,1084.802,1084.802,-41.74851
13,1084.802,-0.001855246,-67.71154
14,1084.802,951.5036,-46.12095
15,1084.802,-0.001307289,-60.93948
16,1084.802,-0.001084564,-107.9337
17,1084.802,-0.002534092,-74.11893
18,1188.967,1188.967,-2.585337
19,1188.967,-0.00140543,-16.77139
20,1188.967,755.9615,-24.37568
21,1188.967,772.161,-20.86991
22,1188.967,787.1952,-15.19005
23,1188.967,-0.00105266,-28.53082
24,1188.967,-0.001389121,-15.24212
25,1188.967,908.0093,-21.72429
26,1188.967,1178.888,-36.83981
27,1188.967,783.6871,-16.62504
28,1188.967,-0.0009256852,-41.85734
29,1188.967,858.2618,-10.93679
30,1188.967,-0.001042121,-45.66183
31,1188.967,-0.0008670833,-31.95194
32,1507.942,1507.942,-14.12747
33,1507.942,-0.000972367,-22.45062
34,1507.942,-0.0009668549,-14.8729
35,1520.521,1520.521,-3.853191
36,1526.267,1526.267,4.134683
37,1526.267,-0.0008672614,-15.29602
38,1526.267,-0.0009665337,-1.919854
39,1526.267,-0.000907399,-9.147647
40,1526.267,1304.092,9.749475
41,1526.267,1294.308,-1.169194
42,1526.267,-0.0009691711,-5.720741
43,1526.267,1446.854,-44.10369
44,1526.267,-0.0009047755,-22.82291
45,1526.267,1439.641,7.685473
46,1526.267,1384.705,4.987238
47,1526.267,-0.001015778,-9.575054
48,1526.267,-0.0009208025,-1.931435
49,1526.267,1405.795,37.56558
50,1526.267,1445.887,22.22983
51,1526.267,1127.455,5.619785
52,1526.267,1491.193,7.436345
53,1526.267,-0.0009727787,-0.01970378
54,1526.267,-0.001041691,-0.1867111
55,1526.267,-0.001047142,-0.02356459
56,1526.267,-0.0009674208,-0.02916884
57,1526.267,-0.001041127,-0.02158992
58,1526.267,-0.001012107,-0.0267967
59,1526.267,-0.0006307284,-0.0356939
60,1526.267,933.325,-1.068671
61,1526.267,-0.0009592953,-5.853931
62,1526.267,-0.0008637566,-1.937049
63,1526.267,984.2697,2.966683
64,1526.267,-0.0009134496,-1.933504
65,1526.267,-0.001013353,-0.02391215
66,1526.267,-0.000907168,-0.03904216
67,1526.267,-0.001011266,-0.01998194
68,1526.267,-0.001009823,-1.920353
69,1630.411,1630.411,8.13127
70,1630.411,-0.00103641,-5.728827
71,1630.411,-0.001038654,-0.03357939
72,1630.411,-0.001046063,-7.649871
73,1630.411,-0.001008506,-1.94473
74,1630.411,-0.001117042,-0.03634057
75,1630.411,-0.001551541,-1.947363
76,1630.411,-0.0009050496,-0.02336417
77,1630.411,-0.001082955,-0.03459035
78,1630.411,-0.001037139,-0.03990296
79,1630.411,-0.001047398,-1.939931
80,1630.411,-0.0009529893,-0.02509881
81,1630.411,-0.0009704508,-1.918877
82,1630.411,-0.0008798956,-0.02317653
83,1630.411,-0.0009610878,-3.815171
84,1630.411,1529.922,5.71539
85,1630.411,1371.669,-8.401848
86,1630.411,1509.191,-16.89019
87,1630.411,1576.633,5.676951
88,1630.411,-0.001040271,-9.552026
89,1630.411,-0.0009691516,-5.7281
90,1630.411,-0.001008866,-20.92382
91,1630.411,-0.0009075237,-16.7543
92,1630.411,-0.000730139,-3.827824
93,1630.411,-0.0006248385,-5.714393
94,1630.411,-0.0008414795,-1.555743
95,1630.411,-0.0007413441,-5.724618
96,1630.411,-0.001008871,-5.716285
97,1630.411,-0.000914085,-22.91255
98,1630.411,-0.00088265,-0.02079388
99,1630.411,-0.0008005991,-0.02314689
100,1630.411,-0.0009705974,-1.932264
101,1630.411,-0.000910374,-1.920238
102,1630.411,-0.0007344833,-0.01337415
